OBJECTID,STAETFP,COUNTYFP,GEOID,COUNTY,LABEL,FULL_,County_Pos_Cases,County_Population,County_Rate_Per_100_000,State_Population,State_Pos_Unknown,State_Pos_Cases,Data_Source,Date_Data_Last_Updated,State_Number_Tested,State_Number_Hospitalizations,State_Deaths,State_Number_of_Counties_Pos,State_Rate_Per_100000,Shape__Area,Shape__Length
1,8,109,8109,SAGUACHE,Saguache,Saguache County,0,6829,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,13273871024,529491.079
2,8,115,8115,SEDGWICK,Sedgwick,Sedgwick County,0,2275,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,2491281577,208249.5687
3,8,17,8017,CHEYENNE,Cheyenne,Cheyenne County,0,1867,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,7613550870,373455.8318
4,8,27,8027,CUSTER,Custer,Custer County,0,4934,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,3100361575,290994.589
5,8,67,8067,LA PLATA,La Plata,La Plata County,1,56446,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,6966607867,371001.0277
6,8,111,8111,SAN JUAN,San Juan,San Juan County,0,747,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,1611963627,209303.3468
7,8,97,8097,PITKIN,Pitkin,Pitkin County,21,17926,117.46,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,4204962607,360368.0505
8,8,93,8093,PARK,Park,Park County,1,18545,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,9525822458,477017.5205
9,8,3,8003,ALAMOSA,Alamosa,Alamosa County,0,16178,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,2987314188,224661.4372
10,8,99,8099,PROWERS,Prowers,Prowers County,0,12076,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,6861386118,333326.7522
11,8,81,8081,MOFFAT,Moffat,Moffat County,0,13201,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,21378597682,615436.3637
12,8,59,8059,JEFFERSON,Jefferson,Jefferson County,93,579877,16.05,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,3379799619,374132.1175
13,8,117,8117,SUMMIT,Summit,Summit County,9,30978,29.06,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,2707648430,325660.7754
14,8,101,8101,PUEBLO,Pueblo,Pueblo County,3,167081,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,10064732291,426421.3459
15,8,13,8013,BOULDER,Boulder,Boulder County,51,325520,15.67,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,3280791024,290982.5021
16,8,31,8031,DENVER,Denver,Denver County,214,717862,29.81,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,680063925.7,341638.1275
17,8,85,8085,MONTROSE,Montrose,Montrose County,4,42280,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,9473395349,544456.7418
18,8,37,8037,EAGLE,Eagle,Eagle County,120,54895,218.73,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,7395854605,390147.7781
19,8,113,8113,SAN MIGUEL,San Miguel,San Miguel County,1,8196,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,5384599735,409162.4398
20,8,23,8023,COSTILLA,Costilla,Costilla County,0,3819,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,5044736712,326902.58
21,8,14,8014,BROOMFIELD,Broomfield,Broomfield County,8,69130,11.52,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,148046030.4,146355.8305
22,8,15,8015,CHAFFEE,Chaffee,Chaffee County,3,20010,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,4328004367,386588.2056
23,8,25,8025,CROWLEY,Crowley,Crowley County,1,5855,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,3373467236,243673.4216
24,8,43,8043,FREMONT,Fremont,Fremont County,1,47921,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,6491723773,368122.6367
25,8,55,8055,HUERFANO,Huerfano,Huerfano County,1,6850,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,6600175788,473895.539
26,8,29,8029,DELTA,Delta,Delta County,1,30936,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,4913548288,340015.0705
27,8,45,8045,GARFIELD,Garfield,Garfield County,13,59854,21.74,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,12911081556,662380.0473
28,8,103,8103,RIO BLANCO,Rio Blanco,Rio Blanco County,0,6293,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,14232867248,615863.6668
29,8,87,8087,MORGAN,Morgan,Morgan County,3,28436,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,5761403666,305025.0675
30,8,73,8073,LINCOLN,Lincoln,Lincoln County,0,5574,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,11104214488,501503.38
31,8,83,8083,MONTEZUMA,Montezuma,Montezuma County,0,26121,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,8372827721,400009.0561
32,8,1,8001,ADAMS,Adams,Adams County,38,511720,7.43,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County of Identification,"Data through March 24, 2020",8064,148,19,36,19.07,5210141150,511835.4009
33,8,79,8079,MINERAL,Mineral,Mineral County,0,754,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,3634702483,263045.3888
34,8,89,8089,OTERO,Otero,Otero County,1,18352,-1,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,5290668251,335426.3309
35,8,95,8095,PHILLIPS,Phillips,Phillips County,0,4280,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,3093819024,227633.7382
36,8,91,8091,OURAY,Ouray,Ouray County,0,4812,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,2274816289,272615.6231
37,8,11,8011,BENT,Bent,Bent County,0,5833,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,6430590599,323583.7276
38,8,7,8007,ARCHULETA,Archuleta,Archuleta County,0,13764,0,5695430,18,1086,Colorado Department of Public Health and Environment - Number of Positive COVID-19 Cases by County,"Data through March 24, 2020",8064,148,19,36,19.07,5542147892,332854.3759
